
NAGŁA SMIERC!|-1000000|-100000|1|1|

Astronomowie oglaszaja tydzien plagi. Populacja miasta zmniejsza sie. Wladze wykupuja aspiryne. Wydatki sa duze a jej przedawkowanie wsrod mieszkancow oslabia ich reprodukcje|-20000|-100000|0.25|1|

Wybuchaja garnki w autobusach, setki martwych, wiele zniszczonych pojazdow|-5000|-10000|1|1|

Polaczony strajk pracowników McDonalda i ministrantow. Poblokowane ulice powoduja, ze przychod miasta spada. Wysokie koszta interwencji ORMO, ZOMO, NKWD, SAS i Korpusu Ochrony Pogranicza.|0|-10000|1|0.5|

Przybywaja uchodzcy z Syrii. Wydatki na zasilki. ZDECYDOWANY wzrost przyrostu naturalnego.|10000|-20000|5|0.2|

Powodz. Duze wydatki na naprawy, niektorzy tona.|-500|-100000|0.9|0.7|

BOOM turystyczny. Zwiekszone wplywy do budzetu.|0|20000|1|3|

Wybucha wojna. Czesc ludzi idzie do wojska, wydatki na zbrojenie i zaopatrzenie, chwilowy wzrost produkcji to wiekszy przychod|-7500|-20000|1.3|3|

Susza. Sprowadzanie żywności ratuje mieszkancow, koszta sa jednak wysokie|-100|-75000|1|0.5|

W miasto uderza atomowka. Masowe zniszczenia i wymieranie.|-60000|-100000|0.2|0.2|

Zla, sztuczna inteligencja przejeła kontrole nad pralkami automatycznymi i mikrofalowkami. Po ciezkich walkach bunt zostaje spacyfikowany, miasto doznalo jednak ciezkich strat, a ludzie musza przyzwyczaic sie do nowej rzeczywistosci bez pralek i mikrofali.|-20000|-30000|1.5|0.7|

Na obrzezach miasta odkryto obfite zloza ropy. Nie minela godzina, a Stany Zjednoczone podjely decyzje o "rozprzestrzenianiu demokracji" w tym rejonie, wyslaly pokojowy kontyngent ktory zablokowal zloza argumentujac to tym ze przeszkadzaja w utrzymaniu pokoju na swiecie. W ramach rekompensaty dosc pokazny przelew do budzetu miasta.|0|100000|1|4|

Wprowadzenie projektu "500-". Kto nie ma dzieci, ten placi grzywne. Niektorzy godza sie z tym i placa, ale wielu z dnia na dzien nagle decyduje sie na posiadanie potomstwa.|3000|10000|3|2|

Wprowadzono zakaz sprzedawania tluczkow do ziemniakow. Zmniejszony przychod i wyprowadzka wielu ludzi ktorzy nie godza sie na takie traktowanie|-1000|-5000|1|0.5|

Jeden z radnych kupuje Punto w gazie z 300000km przebiegu za publiczne pieniadze.|0|-1500|1|1|

Otwarcie nowej Biedry. Ludzie tratuja sie w wejsciu. Lekki zastrzyk gotowki.|-100|7500|1|3|

Inwestowanie w latanie dziury budzetowej okazalo sie porazka. Zostal nadmiar szpul nici, ktore zostaly szybko odsprzedane babciom z bazaru szyjacym kapcie.|0|500|1|0.7|

Tsunami. Na szczescie miastu nic sie nie dzieje, bo nie lezy nad morzem.|0|0|1|1|

Wielka ucieczka zwierzat z miejskiego zoo. Drapiezniki poluja na ludzi na ulicach. Miasto ponosi koszty interwencji|-100|-10000|1|1|

Tir uderza w galerie handlowa. Akurat byla wyprzedaz towaru 2 w cenie 1, gdzie bylo bardzo duzo ludzi.|-500|-5000|1|1.5|

Strajk w fabryce prezerwatyw. Pracownicy zaczeli przekluwac wyprodukowana partie towaru, ktora potem przypadkowo trafila do sklepow...|0|-1000|7|0.9|

Wylaczono Facebook'a na godzine.Wzrost odsetek samobojstw.|-1000|0|1|1|

Minister obrony narodowej kaze sciac wszystkie brzozy w miescie.Straty dla lesniczych.|0|-10000|1|0.9|

Sesja. Studenci w wiekszosci uwalili. Przychod z poprawek, czesc studentow wyjezdza na zmywakna Wyspy.|-2500|7500|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|

Nie dzieje się nic szczegolnego.|0|0|1|1|
